ref,n_files,verdict,files
mdabdulalhasib/let-s-do-some-eda-and-deep-learning-and-blending,2,nothing,"let-s-do-some-eda-and-deep-learning-and-blending.log TrainingSummary "
kodaifukuda0311/s6e8-xgb-the-power-of-exact-value-te-fe,4,CANDIDATE,"oof_xgb.npy pred_xgb.npy s6e8-xgb-the-power-of-exact-value-te-fe.log submission.csv "
johnsebin97/j-s-sfa-2-2,3,nothing,"j-s-sfa-2-2.log submission.csv submission_damped.csv "
zeusgod230/mobile-addiction-notebook,1,nothing,"mobile-addiction-notebook.log "
yadoy666/177-member-diversity-stack-with-gpu-acceleration,2,nothing,"177-member-diversity-stack-with-gpu-acceleration.log submission.csv "
szymonkapiski/s6e8-smartphone-addiction-full-solution,2,nothing,"s6e8-smartphone-addiction-full-solution.log submission.csv "
stephentarter/ps-s06e08-eda,4,CANDIDATE,"ps-s06e08-eda.log sweetviz_addicted_intra.html sweetviz_training_profile.html sweetviz_train_test.html "
souvikdbiswas/s6e8-stop-wasting-hours-on-optuna-score-in-minute,4,nothing,"catboost_info s6e8-stop-wasting-hours-on-optuna-score-in-minute.log submission.csv submission_v3_optuna.csv "
sidhaarthshree/lightgbm-ensemble-based-on-eda,3,CANDIDATE,"lightgbm-ensemble-based-on-eda.log oof_test_predictions.npz submission.csv "
rugvedbane/smartphone-addiction-prediction-complete-eda,1,nothing,"smartphone-addiction-prediction-complete-eda.log "
rohit4468/ensemble-xgb-cat-lgbm-s6-e8,3,nothing,"catboost_info ensemble-xgb-cat-lgbm-s6-e8.log submission.csv "
pkmisra/predicting-smartphone-addiction-lgbm-and-cb-v1,4,CANDIDATE,"catboost_info lightgbm_model.pkl predicting-smartphone-addiction-lgbm-and-cb-v1.log submission.csv "
omidbaghchehsaraei/cnn-for-predicting-smartphone-addiction,3,CANDIDATE,"cnn-for-predicting-smartphone-addiction.log oof.csv submission.csv "
omidbaghchehsaraei/catboost-for-predicting-smartphone-addiction,3,CANDIDATE,"catboost-for-predicting-smartphone-addiction.log oof.csv submission.csv "
muhammadf4h33m/eda-fe-predicting-smartphone-addiction,2,nothing,"description.csv eda-fe-predicting-smartphone-addiction.log "
mohankrishnathalla/s6e8-catboost-tuner-oof-saver,2,nothing,"best_cat_v4_params.json s6e8-catboost-tuner-oof-saver.log "
mhamza0810/s6e8-single-model-fe-cv-0-96947,1,nothing,"s6e8-single-model-fe-cv-0-96947.log "
lucifer19/behaviorpulse-high-signal-boosting,8,CANDIDATE,"ablation_results.csv behaviorpulse-high-signal-boosting.log experiment_manifest.json model_scores.csv oof_predictions.csv severity_teacher_challenger_submission.csv source_teacher_report.json submission.csv "
kospintr/smartphone-stacked-hgbc-catb-xgb-lgbm-baseline,3,nothing,"catboost_info smartphone-stacked-hgbc-catb-xgb-lgbm-baseline.log submission.csv "
gauravduttaiiitb/s6e8-autoviz,2,nothing,"AutoViz_Plots s6e8-autoviz.log "
adarsh1077/s6e8-complete-walkthrough-eda-to-stacking,2,nothing,"s6e8-complete-walkthrough-eda-to-stacking.log submission.csv "
yunsuxiaozi/agent-in-pss6e8-cv-0-9623,6,nothing,"agent-in-pss6e8-cv-0-9623.log exp01 exp02 submission submission_0.962167.csv submission_0.962328.csv "
wellkilo/s6e8-evidence-first-soft-student-blend,2,nothing,"s6e8-evidence-first-soft-student-blend.log submission.csv "
waquarahmed1/t-sne-of-data,1,nothing,"t-sne-of-data.log "
tuannm3812/smartphone-addiction-baseline-modeling,2,nothing,"smartphone-addiction-baseline-modeling.log submission.csv "
stpeteishii/smartphone-additcion-randomforest,2,nothing,"smartphone-additcion-randomforest.log submission.csv "
stephentarter/ps-s06e08-xgboost,3,nothing,"predictions ps-s06e08-xgboost.log submission.csv "
stephentarter/ps-s06e08-catboost,3,nothing,"predictions ps-s06e08-catboost.log submission.csv "
sofiagilka/s6e8-eda-xgb-lgb-catboost,8,CANDIDATE,"avg_ensemble_submission.csv catboost_info cat_submission.csv lgb_submission.csv rank_ensemble_submission.csv s6e8-eda-xgb-lgb-catboost.log weight_ensemble_submission.csv xgb_submission.csv "
sanjaybora143/phone-addiction-multi-models,2,nothing,"phone-addiction-multi-models.log submission.csv "
sadamtorres/smartphone-addiction-bl,7,CANDIDATE,"catboost_info smartphone-addiction-bl.log sub_cat.csv sub_ensemble_mean.csv sub_ensemble_rank.csv sub_lgb.csv sub_xgb.csv "
sadamtorres/predicting-smartphone-addiction-v2,5,CANDIDATE,"catboost_info predicting-smartphone-addiction-v2.log sub_ensemble_rank_fe2.csv sub_ensemble_weighted_fe2.csv sub_xgb_fe2.csv "
rustambhadouriya/mobile-phone-addiction-xgboost-v1-v2,3,CANDIDATE,"filled_0_submissionv2.csv filled_mean_submissionv2.csv mobile-phone-addiction-xgboost-v1-v2.log "
priyamsaha17/predicting-smartphone-addiction-v1,5,CANDIDATE,"blend_weights_8020.csv predicting-smartphone-addiction-v1.log submission_rank_blend_8020.csv submission_raw_blend_8020.csv validation_predictions_8020.csv "
nikita7364777/smartphone-addiction-notebook,2,nothing,"smartphone-addiction-notebook.log submission.csv "
nekkon/s6e8-a-quarter-of-the-rows-cannot-exist,1,nothing,"s6e8-a-quarter-of-the-rows-cannot-exist.log "
mmalam/eda-beginner,1,nothing,"eda-beginner.log "
gauravduttaiiitb/s6e8-lazypredict,2,nothing,"catboost_info s6e8-lazypredict.log "
dariushafshar/lb-0-97055-vs-0-97086-the-level-2-member-trap,2,nothing,"lb-0-97055-vs-0-97086-the-level-2-member-trap.log submission.csv "
dariushafshar/everything-above-0-970-is-inside-the-noise-floor,2,nothing,"everything-above-0-970-is-inside-the-noise-floor.log submission.csv "
boltuzamaki/stacking-47-models-public-lb-0-97073,2,nothing,"stacking-47-models-public-lb-0-97073.log submission.csv "
anhadmahajan06/s6e8-smartphone-addiction-ceiling-breaker,5,CANDIDATE,"2_submission_extreme_anchor.csv 3_submission_power_sharp.csv 4_submission_minmax_blend.csv s6e8-smartphone-addiction-ceiling-breaker.log submission.csv "
vishal567/3-features-vs-everything-minimalism-lost,2,nothing,"3-features-vs-everything-minimalism-lost.log submission.csv "
tahazarei/predicting-smartphone-addiction-with-lightgbm,2,nothing,"predicting-smartphone-addiction-with-lightgbm.log submission.csv "
sudhanshu3112/smartphone-addiction-dashboard-visual-analys,1,nothing,"smartphone-addiction-dashboard-visual-analys.log "
souvikdbiswas/s6e8-quit-wasting-4-hours-on-training-0-95-in-25,2,nothing,"s6e8-quit-wasting-4-hours-on-training-0-95-in-25.log submission.csv "
shubhamphapale/from-scratch-predicting-smartphone-addiction,2,nothing,"from-scratch-predicting-smartphone-addiction.log submission.csv "
rishikeshpaul/explore-smartphone-addiction-data,1,nothing,"explore-smartphone-addiction-data.log "
reyhanksatria/blend-public-weights-0-97117-lb,2,nothing,"blend-public-weights-0-97117-lb.log submission.csv "
ravi20076/playgrounds6e8-public-imports-v1,7,nothing,"myimports.py mypp.py mytunedblender.py myutils.py playgrounds6e8-public-imports-v1.log req_kaggle.txt training.py "
omidbaghchehsaraei/resnet-for-predicting-smartphone-addiction,3,CANDIDATE,"oof.csv resnet-for-predicting-smartphone-addiction.log submission.csv "
omidbaghchehsaraei/flaml-xgboost-for-predicting-smartphone-addiction,3,CANDIDATE,"flaml-xgboost-for-predicting-smartphone-addiction.log oof.csv submission.csv "
odvut1/predict-phone-addiction,1,nothing,"predict-phone-addiction.log "
nursrijan/predicting-smartphone-addiction-ensemble-baseline,3,nothing,"catboost_info predicting-smartphone-addiction-ensemble-baseline.log submission.csv "
nurasylserikov/3-boosters-bagged-baseline-cv-0-96969,3,nothing,"3-boosters-bagged-baseline-cv-0-96969.log catboost_info submission.csv "
maheshmunnuru/phone-addiciton-model-under-5-minutes,1,nothing,"phone-addiciton-model-under-5-minutes.log "
animeguylrn/submissions-playground-series-s6e8,1,nothing,"cache "
abdullahsafwan333/s6e8-realmlp-sap,4,CANDIDATE,"oof.csv s6e8-realmlp-sap.log submission.csv test_preds.csv "
abdullahsafwan333/s6e8-catboost-sap,4,CANDIDATE,"oof.csv s6e8-catboost-sap.log submission.csv test_preds.csv "
z4y4zz/baselinexgb-playgrounds6e8,2,CANDIDATE,"baselinexgb-playgrounds6e8.log sub2.csv "
xuanxuan496/smartphone-addiction-feature-distribution,1,nothing,"smartphone-addiction-feature-distribution.log "
torrreeesss/addiction-eda-and-pred-using-mice-fore-and-lgbm,3,nothing,"addiction-eda-and-pred-using-mice-fore-and-lgbm.log lgb_gbdt_best_params.pkl submission_lgbm.csv "
tamerlanomralinov/s6e8-best-blend-from-tamerlan,2,nothing,"s6e8-best-blend-from-tamerlan.log submission.csv "
szymonkapiski/s6e8-full-lattice-target-encoding-with-xgboost,2,nothing,"s6e8-full-lattice-target-encoding-with-xgboost.log submission.csv "
slowlearnermack/screen-time-doesn-t-add-up-s6e8,2,nothing,"screen-time-doesn-t-add-up-s6e8.log submission.csv "
sidhaarthshree/playground-s6e8-complete-eda,1,nothing,"playground-s6e8-complete-eda.log "
seungjunleeofficial/s6e8-blending-notebook,2,nothing,"s6e8-blending-notebook.log submission.csv "
sankalpnagineni/lgbm-xgboost-rank-blend-s6e8-baseline,2,nothing,"lgbm-xgboost-rank-blend-s6e8-baseline.log submission.csv "
sa4444/predicting-smartphone-addiction-xgboost,2,nothing,"predicting-smartphone-addiction-xgboost.log submission.csv "
ravi20076/playgrounds6e8-public-baseline-v2,5,CANDIDATE,"Mdl_Preds_MLV2_1.parquet OOF_Preds_MLV2_1.parquet playgrounds6e8-public-baseline-v2.log submission.csv xgb_optimize.log "
ravi20076/playgrounds6e8-public-baseline-v1,6,CANDIDATE,"catboost_info Mdl_Preds_MLV1_1.parquet OOF_Preds_MLV1_1.parquet playgrounds6e8-public-baseline-v1.log submission.csv xgb_optimize.log "
omidbaghchehsaraei/tabtransformer-predicting-smartphone-addiction,3,CANDIDATE,"oof.csv submission.csv tabtransformer-predicting-smartphone-addiction.log "
nickkatsarelas/baseline-s6e8,2,nothing,"baseline-s6e8.log submission.csv "
najiama/where-does-the-0-97101-nn-score-really-come-from,1,nothing,"where-does-the-0-97101-nn-score-really-come-from.log "
mohankrishnathalla/s6e8-lgb-dart-tuner-oof-saver,1,nothing,"s6e8-lgb-dart-tuner-oof-saver.log "
masakane/s6e8-eda-baseline-lightgbm,2,nothing,"s6e8-eda-baseline-lightgbm.log submission.csv "
gauravduttaiiitb/s6e8-pseudo-autogluon-medium-quality,3,CANDIDATE,"AutogluonModels medium_quality.csv s6e8-pseudo-autogluon-medium-quality.log "
gauravduttaiiitb/s6e8-flaml-roc-auc,2,CANDIDATE,"roc_auc.csv s6e8-flaml-roc-auc.log "
gauravduttaiiitb/s6e8-autogluon-optimize-for-deployment,3,CANDIDATE,"AutogluonModels optimize_for_deployment.csv s6e8-autogluon-optimize-for-deployment.log "
gauravduttaiiitb/org-s6e8-lazypredict,2,nothing,"catboost_info org-s6e8-lazypredict.log "
gauravduttaiiitb/ex99-org-s6e8-fe-flaml-roc-auc,2,CANDIDATE,"ex99-org-s6e8-fe-flaml-roc-auc.log roc_auc.csv "
gauravduttaiiitb/ex2-s6e8-flaml-roc-auc,2,CANDIDATE,"ex2-s6e8-flaml-roc-auc.log roc_auc.csv "
ebktas/deep-eda-problematic-digital-use,1,nothing,"deep-eda-problematic-digital-use.log "
ebktas/catboost-missingness-experiments-5-fold-roc-auc,1,nothing,"catboost-missingness-experiments-5-fold-roc-auc.log "
dynamo14324/s6e8-smartphone-addiction-eda-lgbm-optuna,2,nothing,"s6e8-smartphone-addiction-eda-lgbm-optuna.log submission.csv "
dedquoc/global-trends-ml-analysis-top-1,2,nothing,"global-trends-ml-analysis-top-1.log submission.csv "
dariushafshar/the-leakage-test-that-can-t-detect-leakage,2,nothing,"submission.csv the-leakage-test-that-can-t-detect-leakage.log "
chakrabhuanavdeva/smartphone-prediction-ffa-model,2,nothing,"smartphone-prediction-ffa-model.log submission.csv "
busyaprime/s6e8-tabular-baseline-that-autodetects-the-task,8,CANDIDATE,"oof_hgb.npy oof_lgb.npy oof_xgb.npy s6e8-tabular-baseline-that-autodetects-the-task.log submission.csv test_hgb.npy test_lgb.npy test_xgb.npy "
boltuzamaki/single-lightgbm-target-encoding-no-model-blend,2,nothing,"single-lightgbm-target-encoding-no-model-blend.log submission.csv "
beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,24,CANDIDATE,"frontier_manifest.csv s6e8-aug-6-fixed-schedule-lookup-audit.log s6e8_c23_exactcat_fixed4000_w0010_rank_20260807.csv s6e8_c24_lookup_seedavg_residual_w0010_rank_20260807.csv s6e8_c25_identity_digit_contrast_l0120_rank_20260807.csv s6e8_c26_exactcat_increment_w0075_rank_20260807.csv s6e8_c27_realmlp_seedavg_w0320_rank_20260807.csv s6e8_c28_exactcat_increment_w0150_rank_20260807.csv s6e8_c29_lookup_seed1042_minus_seed42_rho0100_rank_20260807.csv s6e8_c30_lookup_seed1042_minus_seed42_totalrho0200_rank_20260808.csv s6e8_c31_identity_digit_contrast_increment_l0180_rank_20260808.csv s6e8_c32_xgb_identity_digit_contrast_l0270_rank_20260808.csv s6e8_c33_exactcat_increment_w0190_rank_20260808.csv s6e8_c34_lookup_seed1042_minus_seed42_microgain_e0075_rank_20260808.csv s6e8_c35_xgb_minus_lgb_enh103_l0395_rank_20260808.csv s6e8_c36_rel_exact_stdnorm_equal_s00075_rank_20260808.csv s6e8_c37_catrel_prev_stdnorm_equal_s000650_rank_20260808.csv s6e8_c38_structperp_c38dir_equal_s000875_rank_20260808.csv s6e8_c39_golem_e_minus_d_perp_l01175_rank_20260808.csv s6e8_c40_dedperp_increment_d013250_rank_20260809.csv s6e8_c41_meta_perp_plateau_l03165_rank_20260809.csv submission_c21_c19_lookup_fixed24_w0010_rank.csv submission_c22_c19_lookup_fixed24_w0025_rank.csv submission_c23_c19_lookup_fixed24_w0050_rank.csv "
anthonytherrien/s6e8-lgbm-xgb-catboost-stack,3,CANDIDATE,"oof.csv s6e8-lgbm-xgb-catboost-stack.log submission.csv "
amri11/predicting-smartphone-addiction-prob,4,CANDIDATE,"predicting-smartphone-addiction-prob.log submission.csv test_imputed.csv train_imputed.csv "
alexchilton/your-cv-gain-is-probably-noise,1,nothing,"your-cv-gain-is-probably-noise.log "
zisanferzin/predicting-smartphone-addiction-competition-s1,2,nothing,"predicting-smartphone-addiction-competition-s1.log submission.csv "
zhukovoleksiy/ps6e8-eda-feature-engineering-pipeline,5,nothing,"artifacts oof ps6e8-eda-feature-engineering-pipeline.log submission.csv submission_lgb02.csv "
yusufmurtaza01/s6e8-eda,4,nothing,"catboost_info s6e8-eda.log submission.csv submissions "
yarukikun/jyama,2,nothing,"jyama.log submission.csv "
valentinemwai/predicting-smartphone-addiction-xgboost-model,2,nothing,"predicting-smartphone-addiction-xgboost-model.log submission.csv "
tsubasacat/s6e8-smartphone-addiction-gbdt-ensemble-pipeline,2,nothing,"s6e8-smartphone-addiction-gbdt-ensemble-pipeline.log submission.csv "
timofeyyyyyy/baseline-prediction-with-lightgbm-and-eda,2,nothing,"baseline-prediction-with-lightgbm-and-eda.log submission.csv "
sunixliu/stacking-ensemble,3,nothing,"catboost_info outputs stacking-ensemble.log "
stpeteishii/smartphone-additcion-lgbm,2,nothing,"smartphone-additcion-lgbm.log submission.csv "
stephentarter/ps-s06e08-feature-engineering,2,nothing,"ps-s06e08-feature-engineering.log ps_s06e08_feature_engineering.py "
stephentarter/ps-s06e08-data-visualization,2,nothing,"ps-s06e08-data-visualization.log ps_s06e08_data_visualization.py "
sreekar2828/smart-phone-additcion-comp,2,nothing,"smart-phone-additcion-comp.log submission.csv "
santosh1974/s6-e8-lightgbm-5fold-baseline-roc-auc,2,nothing,"s6-e8-lightgbm-5fold-baseline-roc-auc.log submission_lgb_baseline.csv "
rohandsouza003/xgboost-vs-catboost-which-performs-better-play,3,nothing,"catboost_info submission.csv xgboost-vs-catboost-which-performs-better-play.log "
psychocoderxd/s6e8-stop-grinding-free-0-97085-in-15-min,2,nothing,"s6e8-stop-grinding-free-0-97085-in-15-min.log submission_champion.csv "
omidbaghchehsaraei/flaml-lgbm-for-predicting-smartphone-addiction,3,CANDIDATE,"flaml-lgbm-for-predicting-smartphone-addiction.log oof.csv submission.csv "
nirmalpatel02/multi-seed-lgbm-fe-cv-ensemble-s6e8,2,nothing,"multi-seed-lgbm-fe-cv-ensemble-s6e8.log submission.csv "
nekkon/changing-the-seed-moves-you-60-places,1,nothing,"changing-the-seed-moves-you-60-places.log "
narendra2809/tps-s6e8-gpu-ensemble-eda-auc-0-965,3,nothing,"submission_ensemble.csv submission_final.csv tps-s6e8-gpu-ensemble-eda-auc-0-965.log "
narendra2809/tps-s6e8-gpu-ensemble-complete-eda-auc-0-9659,2,nothing,"submission_final.csv tps-s6e8-gpu-ensemble-complete-eda-auc-0-9659.log "
mohankrishnathalla/s6e8-eda-base-smartphone-addiction-auc-0-96,1,nothing,"s6e8-eda-base-smartphone-addiction-auc-0-96.log "
maheshmunnuru/eda-blueprint-for-classification-problems,1,nothing,"eda-blueprint-for-classification-problems.log "
lalit7881/predicting-smartphone-addiction-xgb,2,nothing,"predicting-smartphone-addiction-xgb.log submission.csv "
harwindersingh766/ps-s6e8-eda,1,nothing,"ps-s6e8-eda.log "
gopikrishnan2005/s6e8-cat-lgbm-xgb,3,nothing,"catboost_info s6e8-cat-lgbm-xgb.log submission.csv "
gauravduttaiiitb/s6e8-mljar-0-96531,0,EMPTY,""
gauravduttaiiitb/s6e8-autogluon-medium-quality,2,CANDIDATE,"medium_quality.csv s6e8-autogluon-medium-quality.log "
gauravduttaiiitb/s6e8-autogluon-good-quality,0,EMPTY,""
gauravduttaiiitb/ex99-fe-s6e8-flaml-roc-auc,2,CANDIDATE,"ex99-fe-s6e8-flaml-roc-auc.log roc_auc.csv "
gauravduttaiiitb/ex1-s6e8-flaml-roc-auc-weighted,2,CANDIDATE,"ex1-s6e8-flaml-roc-auc-weighted.log roc_auc_weighted.csv "
gauravduttaiiitb/ex1-s6e8-flaml-roc-auc,2,CANDIDATE,"ex1-s6e8-flaml-roc-auc.log roc_auc.csv "
gauravduttaiiitb/ex1-s6e8-flaml-macro-f1,2,CANDIDATE,"ex1-s6e8-flaml-macro-f1.log macro_f1.csv "
gauravduttaiiitb/ex1-s6e8-flaml-log-loss,2,CANDIDATE,"ex1-s6e8-flaml-log-loss.log log_loss.csv "
gauravduttaiiitb/ex1-s6e8-flaml-ap,2,CANDIDATE,"ap.csv ex1-s6e8-flaml-ap.log "
gauravduttaiiitb/ex1-s6e8-flaml-accuracy,2,CANDIDATE,"accuracy.csv ex1-s6e8-flaml-accuracy.log "
dynamo14324/s6e8-ultimate-ensemble-stacking-50-models,2,nothing,"s6e8-ultimate-ensemble-stacking-50-models.log submission.csv "
dynamo14324/digital-addiction-deep-eda-insights-s6e8,1,nothing,"digital-addiction-deep-eda-insights-s6e8.log "
dnyaneshbharambe/addiction-lgb-xgb-cat-ensemble,9,CANDIDATE,"addiction-lgb-xgb-cat-ensemble.log blend_oof.npy cb_oof.npy cb_test.npy lgb_oof.npy lgb_test.npy submission.csv xgb_oof.npy xgb_test.npy "
direcm/s6e8-top-30-diversity-stack-rank-blend,2,nothing,"s6e8-top-30-diversity-stack-rank-blend.log submission.csv "
dionisiusserafs/s6e8-eda-histogram-gradient-boosting-0-95862,2,nothing,"s6e8-eda-histogram-gradient-boosting-0-95862.log submission.csv "
dhananjayprajapati11/the-hidden-patterns-behind-smartphone-addiction,1,nothing,"the-hidden-patterns-behind-smartphone-addiction.log "
daniilkrasnovvv/best-current-open-solution-memes-part-3,2,nothing,"best-current-open-solution-memes-part-3.log submission.csv "
busyaprime/how-the-s6e8-generator-reshaped-the-rules,1,nothing,"how-the-s6e8-generator-reshaped-the-rules.log "
benedictusryugunawan/s6e8-realmlp-approach,2,nothing,"output s6e8-realmlp-approach.log "
