ref,n_files,verdict,files
leneen/ols-from-matrix-math-to-prediction,7,nothing,"ols_convergence_full.png ols-from-matrix-math-to-prediction.log submission.csv xai_1_beta_coefficients.png xai_1_beta_stability.png xai_2_contribution_decomposition.png xai_3_sensitivity_analysis.png "
shivamgravity/pgs-s6e8-baseline-logistic-regression,2,nothing,"pgs-s6e8-baseline-logistic-regression.log submission.csv "
mohankrishnathalla/s6e8-realmlp-oof-saver,9,CANDIDATE,"oof_realmlp.npy s6e8-realmlp-oof-saver.log submission_realmlp.csv submission_realmlp_fold1.csv submission_realmlp_fold2.csv submission_realmlp_fold3.csv submission_realmlp_fold4.csv submission_realmlp_fold5.csv test_realmlp.npy "
tejaswagupta/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
aarontauro/smartphone-addiction,2,nothing,"smartphone-addiction.log submission.csv "
fall2fire/smartphone-addiction-prediction-score-0-96692,2,nothing,"smartphone-addiction-prediction-score-0-96692.log submission.csv "
vladstud716373618/s6e8-stress-level-is-useless-a-statistical-test,2,nothing,"noise_test_results s6e8-stress-level-is-useless-a-statistical-test.log "
cv13j0/doomscroll-detector-v3,4,nothing,"doomscroll-detector-v3.log submission_blend.csv submission_transformer.csv submission_xgb.csv "
lonnieqin/s6e8-with-tensorflow-5-fold-pipeline,3,nothing,"s6e8_tf s6e8-with-tensorflow-5-fold-pipeline.log submission.csv "
mariusborel/predict-smartphone-addiction,2,nothing,"predict-smartphone-addiction.log submission.csv "
zqx960151285/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
anvitasreddy/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
harharharhar/phone-addiction-shap,2,nothing,"phone-addiction-shap.log submission_addiction.csv "
yhay81/smartphone-addiction-api-python-baseline,2,nothing,"smartphone-addiction-api-python-baseline.log submission.csv "
shashwat1729/s6e8-lookup-pair-transformer,5,CANDIDATE,"oof_lookup_pair.npy s6e8-lookup-pair-transformer.log submission.csv summary_lookup_pair.json test_lookup_pair.npy "
mitgajera/addiction,2,nothing,"addiction.log submission.csv "
makthanithin/s6e8-addiction-lb-0-97086,2,nothing,"s6e8-addiction-lb-0-97086.log submission.csv "
keyadobriyal/smartphone-addiction,2,nothing,"smartphone-addiction.log submission.csv "
thaanismohamed/decision-tree-own-predicting-smartphone-addiction,5,nothing,"cleaning_stats.pkl decision_tree_modeldws.pkl decision-tree-own-predicting-smartphone-addiction.log feature_cols.pkl submission.csv "
nuzhatbintenazim/s6e8-lightgbm,2,nothing,"s6e8-lightgbm.log submission.csv "
bnzn261029/eda-lightgbm-baseline-roc-auc,2,nothing,"eda-lightgbm-baseline-roc-auc.log submission_lgbm_baseline.csv "
nuzhatbintenazim/s6e8-simple-solution-with-feature-engineering,2,nothing,"s6e8-simple-solution-with-feature-engineering.log submission.csv "
beicicc/s6e8-seed-diversity-residual-audit,8,CANDIDATE,"s6e8-seed-diversity-residual-audit.log seed2_residual_anchor_audit.csv seed2_residual_candidate_summary.csv seed2_residual_fold_deltas.csv seed2_residual_manifest.json seed2_residual_oof_predictions.csv seed2_residual_test_predictions.csv submission_seed2_residual_10pct.csv "
abdullahsafwan333/s6e8-ft-transformer-sap,1,nothing,"s6e8-ft-transformer-sap.log "
keyadobriyal/smart-phone-addiction-nn-v2,2,nothing,"hyperparam_tuning smart-phone-addiction-nn-v2.log "
thomasmeiner/smartphone-addiction-with-bluecastai,3,nothing,"bluecastai_agent_log.jsonl smartphone-addiction-with-bluecastai.log submission.csv "
abdullahsafwan333/s6e8-feature-engineering-sap,1,nothing,"s6e8-feature-engineering-sap.log "
gauravduttaiiitb/ex1-s6e8-flaml-micro-f1,2,CANDIDATE,"ex1-s6e8-flaml-micro-f1.log micro_f1.csv "
jayashree21f3001265/smartphone,2,nothing,"smartphone.log submission.csv "
mayank787/addiction-to-mobile,4,CANDIDATE,"addiction-to-mobile.log catboost_tuned_model.cbm submission.csv submission_tuned_v2.csv "
rishikeshpaul/smartphone-addiction-prediction-pipeline,1,nothing,"smartphone-addiction-prediction-pipeline.log "
lavanyabacche/s1e8-psa-01,3,nothing,"s1e8-psa-01.log submission.csv submission_damped.csv "
mmalam/eda-on-categorical-columns,1,nothing,"eda-on-categorical-columns.log "
vladstud716373618/logistic-regression-tests,0,EMPTY,""
lavanyabacche/predicting-smartphones-lb-0-97117,2,nothing,"predicting-smartphones-lb-0-97117.log submission.csv "
mmalam/shrink-dataset,1,nothing,"shrink-dataset.log "
funguscakehead/da-thig,20,CANDIDATE,"combined_superpool_lr_compare_dropped.csv combined_superpool_lr_compare_duplicates.csv combined_superpool_lr_compare_meta_oof.parquet combined_superpool_lr_compare_meta_test.parquet combined_superpool_lr_compare_quality.csv combined_superpool_lr_compare_rankgauss_coefficients.csv combined_superpool_lr_compare_rankgauss_full.csv combined_superpool_lr_compare_rankgauss_honest_coefficients.csv combined_superpool_lr_compare_rankgauss_preblends_excluded.csv combined_superpool_lr_compare_raw_manifest.csv combined_superpool_lr_compare_scores.csv combined_superpool_lr_compare_solo_model_scores.csv combined_superpool_lr_compare_three_arm_fold_scores.csv combined_superpool_lr_compare_three_arm_global_coefficients.csv combined_superpool_lr_compare_three_arm_identity_coefficients.csv combined_superpool_lr_compare_three_arm_missingness_coefficients.csv combined_superpool_lr_compare_three_arm_regime_lr.csv combined_superpool_lr_compare_your_logit_lr_coefficients.csv combined_superpool_lr_compare_your_logit_lr.csv da-thig.log "
mostafamomeni/notebook546aa9afd1,1,CANDIDATE,"notebook546aa9afd1.log "
poojapuri/smartphone-addiction-prediction,1,nothing,"smartphone-addiction-prediction.log "
rithvikmuthyapu/s6e8-data-visualization-and-prediction-w-tf-ann,2,nothing,"s6e8-data-visualization-and-prediction-w-tf-ann.log submission.csv "
gauravduttaiiitb/ex996-s6e8-flaml-roc-auc-weighted,2,CANDIDATE,"ex996-s6e8-flaml-roc-auc-weighted.log roc_auc_weighted.csv "
gauravduttaiiitb/ex999-s6e8-flaml-roc-auc-weighted,2,CANDIDATE,"ex999-s6e8-flaml-roc-auc-weighted.log roc_auc_weighted.csv "
gauravduttaiiitb/ex999-s6e8-lazypredict,1,nothing,"ex999-s6e8-lazypredict.log "
adnanik23/s6e8-training,1,nothing,"s6e8-training.log "
gauravduttaiiitb/ex451-s6e8-flaml-roc-auc-weighted,2,CANDIDATE,"ex451-s6e8-flaml-roc-auc-weighted.log roc_auc_weighted.csv "
gauravduttaiiitb/ex351-s6e8-flaml-roc-auc-weighted,2,CANDIDATE,"ex351-s6e8-flaml-roc-auc-weighted.log roc_auc_weighted.csv "
aqibrazadev/complete-end-to-end-eda-with-advanced-dl-models,2,nothing,"complete-end-to-end-eda-with-advanced-dl-models.log submission.csv "
nikitasem/smartphone-addiction-classification,1,nothing,"smartphone-addiction-classification.log "
daniilkrasnovvv/s6e8-optimized-solution-by-optuna,2,nothing,"s6e8-optimized-solution-by-optuna.log submission.csv "
dynamo14324/s6e8-advanced-feature-engineering,2,nothing,"s6e8-advanced-feature-engineering.log submission.csv "
rizkisuryanugroho/smartphone-addiction-lightgbm,2,nothing,"smartphone-addiction-lightgbm.log submission.csv "
lavanyabacche/predicting-smartphone-addiction-playground-s6e8,2,nothing,"predicting-smartphone-addiction-playground-s6e8.log submission.csv "
lavanyabacche/mobile-addiction-lgbm,2,nothing,"mobile-addiction-lgbm.log submission_ensemble.csv "
lavanyabacche/tps-s6e8-eda-advanced-feats-weighted-en-1fab70,2,nothing,"submission.csv tps-s6e8-eda-advanced-feats-weighted-en-1fab70.log "
codingmaster24/addiction-prediction-gbm,2,nothing,"addiction-prediction-gbm.log submission.csv "
akshatx25/notebook872448728e,1,nothing,"notebook872448728e.log "
aslamsayyad1/version-6,2,nothing,"submission.csv version-6.log "
abidhasan0720/predicting-smartphone-addiction,1,nothing,"predicting-smartphone-addiction.log "
gauravduttaiiitb/ex51-s6e8-flaml-ap,2,CANDIDATE,"ap.csv ex51-s6e8-flaml-ap.log "
gauravduttaiiitb/ex51-s6e8-flaml-accuracy,2,CANDIDATE,"accuracy.csv ex51-s6e8-flaml-accuracy.log "
gauravduttaiiitb/ex51-s6e8-flaml-roc-auc-weighted,2,CANDIDATE,"ex51-s6e8-flaml-roc-auc-weighted.log roc_auc_weighted.csv "
gauravduttaiiitb/ex151-s6e8-flaml-roc-auc,2,CANDIDATE,"ex151-s6e8-flaml-roc-auc.log roc_auc.csv "
wesleyhuan/s6e8-multi-model-compare,3,CANDIDATE,"oof_preds.csv s6e8-multi-model-compare.log submission.csv "
dariushafshar/the-other-third-of-gaming-hours-accounted-for,1,nothing,"the-other-third-of-gaming-hours-accounted-for.log "
dariushafshar/what-the-public-leaderboard-cannot-tell-you,1,nothing,"what-the-public-leaderboard-cannot-tell-you.log "
gauravduttaiiitb/ex51-s6e8-flaml-f1,2,CANDIDATE,"ex51-s6e8-flaml-f1.log f1.csv "
gauravduttaiiitb/ex51-s6e8-flaml-roc-auc,2,CANDIDATE,"ex51-s6e8-flaml-roc-auc.log roc_auc.csv "
docxian/ps-s6-e09-smartphone-addiction,2,nothing,"ps-s6-e09-smartphone-addiction.log submission.csv "
gauravduttaiiitb/ex66-s6e8-flaml-roc-auc,2,CANDIDATE,"ex66-s6e8-flaml-roc-auc.log roc_auc.csv "
gauravduttaiiitb/ex72-fe-s6e8-flaml-roc-auc,2,CANDIDATE,"ex72-fe-s6e8-flaml-roc-auc.log roc_auc.csv "
gauravduttaiiitb/ex69-s6e8-flaml-roc-auc,2,CANDIDATE,"ex69-s6e8-flaml-roc-auc.log roc_auc.csv "
gauravduttaiiitb/ex69-s6e8-flaml-micro-f1,2,CANDIDATE,"ex69-s6e8-flaml-micro-f1.log micro_f1.csv "
vladstud716373618/5-features-logistic-regression-0-945-roc-auc,1,nothing,"5-features-logistic-regression-0-945-roc-auc.log "
enricomanosperti/predicting-smartphone-addiction-eda-baseline,2,nothing,"predicting-smartphone-addiction-eda-baseline.log submission.csv "
aslamsayyad1/version-4,2,nothing,"submission.csv version-4.log "
shashwat1729/s6e8-screen-blind-gbm,5,CANDIDATE,"oof_screen_blind.npy s6e8-screen-blind-gbm.log submission.csv summary_screen_blind.json test_screen_blind.npy "
amandubal/predicting-smartphone-addiction-ipynb,1,nothing,"predicting-smartphone-addiction-ipynb.log "
harwindersingh766/ps-s6e8-xgboost-te-lb-0-96548,7,CANDIDATE,"oof_xgb.npy oof_xgb_sb.npy ps-s6e8-xgboost-te-lb-0-96548.log submission.csv submission_xgb.csv test_xgb.npy test_xgb_sb.npy "
dariushafshar/which-of-your-submissions-should-you-actually-pick,2,nothing,"submission.csv which-of-your-submissions-should-you-actually-pick.log "
shashwat1729/s6e8-gpu-clean-v6,2,nothing,"s6e8-gpu-clean-v6.log submission.csv "
dranilkumardubey/nova-sap,6,CANDIDATE,"cv_summary.csv nova_sap_ablation.csv nova-sap.log nova_sap_uncertainty.csv oof_predictions.csv submission.csv "
magurodataanalysis/s6e8-linear-vs-trees,7,CANDIDATE,"fold_report.csv missingness_slice_report.csv model_comparison.csv oof.csv s6e8-linear-vs-trees.log submission.csv submission_self_contained.csv "
anhadmh/multi-model,11,nothing,"multi-model.log submission_best_ensemble_hillclimb.csv submission_best_single_xgboost.csv submission_hill_climbing.csv submission_model_catboost.csv submission_model_histgbm.csv submission_model_lightgbm.csv submission_model_logreg.csv submission_model_xgboost.csv submission_rank_average.csv submission_stacking.csv "
rafanikitas/s6e8-gbdt-ensemble,4,CANDIDATE,"experiment_log.csv oof_predictions.csv s6e8-gbdt-ensemble.log submission_stack_lgbm.csv "
dariushafshar/s6e8-what-actually-helps,2,nothing,"s6e8-what-actually-helps.log submission.csv "
harmainmughal11/smartphone-addiction-prediction,9,nothing,"smartphone-addiction-prediction.log submission_baseline_97117.csv submission.csv submission_v6_bins40_035.csv submission_v6_local_02.csv submission_v6_local_035.csv submission_v6_local_05.csv submission_v6_local_075.csv submission_v6_local_10.csv "
harishyadav0506/notebookbe0d1cfdfb,3,nothing,"notebookbe0d1cfdfb.log submission.csv submission_ensemble_top.csv "
justcode1/smart-phone-addiction,1,nothing,"smart-phone-addiction.log "
nurasylserikov/s6e8-eda,1,nothing,"s6e8-eda.log "
raphdraft/target-encoding-without-the-leak-how-to-prove-it,1,nothing,"target-encoding-without-the-leak-how-to-prove-it.log "
ramrithikchirra/notebookbb476eb0f4,3,nothing,"notebookbb476eb0f4.log submission.csv submission_damped.csv "
shivamgravity/pgs-s6e8-eda,1,nothing,"pgs-s6e8-eda.log "
smit1612/logistic-regression-baseline-0-923-cv-0-926-lb,2,nothing,"logistic-regression-baseline-0-923-cv-0-926-lb.log submission_lr.csv "
sowmiya06m/submission-csv,2,nothing,"submission.csv submission-csv.log "
harishyadav0506/notebookf563454554,3,nothing,"notebookf563454554.log submission.csv submission_v2.csv "
dynamo14324/smartphone-addiction-championship-v2,0,EMPTY,""
untouchableforest/s6e8-knn-diversifier-v3-raw-knn-output,16,CANDIDATE,"knn_raw.npy s6e8-knn-diversifier-v3-raw-knn-output.log submission.csv submission_logit_n20_85_knn_15.csv submission_logit_n20_90_knn_10.csv submission_logit_n20_95_knn_5.csv submission_n20.csv submission_n20r_80_knn_20.csv submission_n20r_85_knn_15.csv submission_n20r_85_najiknn_15.csv submission_n20r_88_knn_12.csv submission_n20r_90_knn_10.csv submission_n20r_90_najiknn_10.csv submission_n20r_93_knn_7.csv submission_n20r_95_knn_5.csv submission_n20r_95_najiknn_5.csv "
parthakkumar/notebooke30b189c20,1,nothing,"notebooke30b189c20.log "
hboyang/s6e8-150-member-fusion,8,CANDIDATE,"oof_mix.npy oof_nested.npy result.json s6e8-150-member-fusion.log submission_mix.csv submission_nested.csv test_mix.npy test_nested.npy "
shinak0502/notebook48ddac235f,3,CANDIDATE,"notebook48ddac235f.log preds.npz submission.csv "
tannushreevaishnav/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
stephentarter/ps-s06e08-histgradientboosting,3,CANDIDATE,"predictions ps-s06e08-histgradientboosting.log submission.csv "
junkonno/fork-of-notebookd256aca73c,2,nothing,"fork-of-notebookd256aca73c.log submission.csv "
secretiveplotter1863/smartphone-addiction,2,nothing,"smartphone-addiction.log submission.csv "
bariankitvinod/predicting-smartphone-addiction-our-ipynb-file,1,nothing,"predicting-smartphone-addiction-our-ipynb-file.log "
logeshwari12345/smartphone-addiction,2,nothing,"smartphone-addiction.log submission.csv "
dynamo14324/smartphone-addiction-eda-baseline,2,nothing,"smartphone-addiction-eda-baseline.log submission.csv "
sarathsreedharj/mobile-addiction,2,nothing,"mobile-addiction.log submission.csv "
dynamo14324/smartphone-addiction-leakage-safe-baseline,2,nothing,"smartphone-addiction-leakage-safe-baseline.log submission.csv "
yaminh/smartphone-addiction-prediction-strong-eda-cv-eble,5,CANDIDATE,"experiment_summary.csv oof_base_models.csv smartphone-addiction-prediction-strong-eda-cv-eble.log submission.csv test_base_models.csv "
dynamo14324/smartphone-addiction-championship,1,nothing,"smartphone-addiction-championship.log "
ayaabdalsalam/phone-addiction,2,nothing,"phone-addiction.log submission.csv "
yadoy666/predicting-smartphone-addiction,31,CANDIDATE,"catboost_cv_results.csv catboost_feature_importance.csv catboost_oof_predictions.csv.gz catboost_test_predictions.npy ensemble_fold_results.csv ensemble_oof_predictions.csv.gz ensemble_weight_search.csv final_fmdeep_ensemble_folds.csv final_fmdeep_ensemble_oof.csv.gz final_fmdeep_ensemble_test.npy final_model_summary.csv fmdeep_cv_results.csv fmdeep_ensemble_fold_results.csv fmdeep_ensemble_oof.csv.gz fmdeep_ensemble_test_predictions.npy fmdeep_ensemble_weight_search.csv fmdeep_oof_logits.npy fmdeep_oof_predictions.csv.gz fmdeep_oof_predictions.npy fmdeep_test_logits.npy fmdeep_test_predictions.npy predicting-smartphone-addiction.log submission_catboost_gpu_5fold.csv submission_catboost_xgboost_ensemble.csv submission.csv submission_fmdeep_ensemble_candidate.csv submission_xgboost_gpu_5fold.csv xgboost_cv_results.csv xgboost_feature_importance.csv xgboost_oof_predictions.csv.gz xgboost_test_predictions.npy "
enricomanosperti/smartphone-addiction-eda-baseline,1,nothing,"smartphone-addiction-eda-baseline.log "
yeonseokcho/smartphone-addiction-prediction,2,nothing,"smartphone-addiction-prediction.log submission.csv "
lukemanabubakar/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
adityakushwaha007/kaggle-s6e8-predicting-smartphone-addiction-eda,1,nothing,"kaggle-s6e8-predicting-smartphone-addiction-eda.log "
bhuvaneshwarpratap12/smartphoneaddiction1,2,nothing,"smartphoneaddiction1.log submission_01_xgb55_lgb25_cat20.csv "
tanvicaaa/phone-addiction-v1,3,nothing,"phone-addiction-v1.log submission_band_model.csv submission.csv "
junkonno/notebookd256aca73c,2,nothing,"notebookd256aca73c.log submission.csv "
reyhanksatria/smartphone-addiction,3,nothing,"smartphone-addiction.log submission_band_model.csv submission.csv "
aadikaggle123/predicting-smartphone-addiction,1,nothing,"predicting-smartphone-addiction.log "
mafaqbhattiofficial/eda-predicting-smartphone-addiction,1,nothing,"eda-predicting-smartphone-addiction.log "
kitopl/eda-lightgbm-zero-correlation-is-not-no-signal,2,nothing,"eda-lightgbm-zero-correlation-is-not-no-signal.log submission.csv "
defaultujijk/competition-2,1,nothing,"competition-2.log "
pannu22/smartphone-addiction-baseline,2,nothing,"smartphone-addiction-baseline.log submission.csv "
ayushmuley/notebookc9fa246ba4,3,CANDIDATE,"notebookc9fa246ba4.log subrf.csv subxgb.csv "
nicolepatterson8910/notebook07e29767c7,2,nothing,"notebook07e29767c7.log submission.csv "
wowtimwow/model-capacity-beat-my-feature-engineering-by-18x,1,nothing,"model-capacity-beat-my-feature-engineering-by-18x.log "
sujeetfz/smartphone-addiction-prediction,1,nothing,"smartphone-addiction-prediction.log "
kvishalini/predicting-smartphone-addiction,1,nothing,"predicting-smartphone-addiction.log "
nicolepatterson8910/notebooka219999a69,2,nothing,"notebooka219999a69.log submission.csv "
mohankrishnathalla/s6e8-tabm-oof-saver,9,CANDIDATE,"oof_mlp.npy s6e8-tabm-oof-saver.log submission_mlp.csv submission_mlp_fold1.csv submission_mlp_fold2.csv submission_mlp_fold3.csv submission_mlp_fold4.csv submission_mlp_fold5.csv test_mlp.npy "
mayankgariyamldev/addicition-compitations,1,nothing,"addicition-compitations.log "
rv1922/smartphone-eda-analysis,1,nothing,"smartphone-eda-analysis.log "
rv1922/smartphone-addiction,3,CANDIDATE,"model_outputs smartphone-addiction.log submission.csv "
aslamsayyad1/version-7,2,nothing,"submission.csv version-7.log "
sergiobuilds/s6e8-feature-engineering-comparison,2,nothing,"s6e8-feature-engineering-comparison.log submission.csv "
sergiobuilds/s6e8-eda-smartphone-addiction,2,nothing,"s6e8-eda-smartphone-addiction.log submission.csv "
nebukhadnezar234/predicting-smartphone-addiction,1,nothing,"predicting-smartphone-addiction.log "
aumpatel131/kaggle-s6e8,2,nothing,"kaggle-s6e8.log submission.csv "
mayankgariyamldev/addiction,1,nothing,"addiction.log "
gauravduttaiiitb/ex51-s6e8-flaml-log-loss,2,CANDIDATE,"ex51-s6e8-flaml-log-loss.log log_loss.csv "
aslamsayyad1/version-5,2,nothing,"submission.csv version-5.log "
sisiravk/notebookfe9ed60365,0,EMPTY,""
muhammadf4h33m/s06e08-original-data-lightgbm-0-96169,1,nothing,"s06e08-original-data-lightgbm-0-96169.log "
shashwat1729/s6e8-knn-target-gbm,5,CANDIDATE,"oof_knn_gbm.npy s6e8-knn-target-gbm.log submission.csv summary_knn_gbm.json test_knn_gbm.npy "
dariushafshar/exact-values-fail-as-lookup-keys,1,nothing,"exact-values-fail-as-lookup-keys.log "
chihebghraibia/predicting-smartphone-addiction-playground,2,nothing,"predicting-smartphone-addiction-playground.log submission.csv "
aslamsayyad1/version-3,2,nothing,"submission.csv version-3.log "
ankitaguptaindia/s6-e8-eda-model-building-hpt,2,nothing,"s6-e8-eda-model-building-hpt.log submission.csv "
dariushafshar/s6e8-will-your-public-score-survive,2,nothing,"s6e8-will-your-public-score-survive.log submission.csv "
dariushafshar/s6e8-the-missingness-is-the-drift,2,nothing,"s6e8-the-missingness-is-the-drift.log submission.csv "
dariushafshar/the-unaccounted-third-is-the-gaming-work-split,2,nothing,"submission.csv the-unaccounted-third-is-the-gaming-work-split.log "
hermitsays/predicting-smartphone-addiction-xgb,2,nothing,"predicting-smartphone-addiction-xgb.log submission.csv "
aslamsayyad1/version-2,2,nothing,"submission.csv version-2.log "
